Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Urban population (% of total),SP.URB.TOTL.IN.ZS,Norway,NOR,80.473
Urban population (% of total),SP.URB.TOTL.IN.ZS,Oman,OMN,77.641
Urban population (% of total),SP.URB.TOTL.IN.ZS,Pakistan,PAK,38.758
Urban population (% of total),SP.URB.TOTL.IN.ZS,Palau,PLW,87.071
Urban population (% of total),SP.URB.TOTL.IN.ZS,Panama,PAN,66.592
Urban population (% of total),SP.URB.TOTL.IN.ZS,Papua New Guinea,PNG,13.005
Urban population (% of total),SP.URB.TOTL.IN.ZS,Paraguay,PRY,59.666
Urban population (% of total),SP.URB.TOTL.IN.ZS,Peru,PER,78.609
Urban population (% of total),SP.URB.TOTL.IN.ZS,Philippines,PHL,44.373
Urban population (% of total),SP.URB.TOTL.IN.ZS,Poland,POL,60.539
Urban population (% of total),SP.URB.TOTL.IN.ZS,Portugal,PRT,63.468
Urban population (% of total),SP.URB.TOTL.IN.ZS,Puerto Rico,PRI,93.6
Urban population (% of total),SP.URB.TOTL.IN.ZS,Qatar,QAT,99.244
Urban population (% of total),SP.URB.TOTL.IN.ZS,Romania,ROU,54.564
Urban population (% of total),SP.URB.TOTL.IN.ZS,Russian Federation,RUS,74.008
Urban population (% of total),SP.URB.TOTL.IN.ZS,Rwanda,RWA,28.811
Urban population (% of total),SP.URB.TOTL.IN.ZS,Samoa,WSM,19.098
Urban population (% of total),SP.URB.TOTL.IN.ZS,San Marino,SMR,94.19
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sao Tome and Principe,STP,65.092
Urban population (% of total),SP.URB.TOTL.IN.ZS,Saudi Arabia,SAU,83.13
Urban population (% of total),SP.URB.TOTL.IN.ZS,Senegal,SEN,43.721
Urban population (% of total),SP.URB.TOTL.IN.ZS,Serbia,SRB,55.553
Urban population (% of total),SP.URB.TOTL.IN.ZS,Seychelles,SYC,53.887
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sierra Leone,SLE,39.942
