"","Country","Region","Happiness_Score","Econonmy_GDP_Per_Capita","Family","Health_Life_Expectancy","Freedom","Trust_Government_Corruption","Generosity","Air_Pollution","Internet_Usage_Index","Cellular_Subscriber_Index","Total_Population","Child_Mortality_Index","Alcohol_Consumption_Index","Birth_Rate_Index","Mental_and_Substance_Disorder_Index","Suicide_Index","Clean_Water_Index","Population_Growth_Rate","HIV_Disease_Index","Obesity_Index","Electricity_Access_Population_Percentage","Compulsory_Education_in_Years","Agricultural_Land_Percentage","Entrepreneurship_Cost_Index","Forest_Area_Land_Percentage","Infant_Immunization_Measles_Index","Automotive_Mortality_Index","Urban_Population_Percentage","Legal_Rights_Index"
"84","Portugal","Western Europe",5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,9.760644322,68.6329,110.411663924289,10418473,0.279500007629394,12.5,1.2539999,17.9447287848,9.7404511604,100,-0.478,3.57037366689,20.4,100,9,40.3900399537148,2.2,34.7357160011353,98,7.7,63.468,2
"85","Latvia","Central and Eastern Europe",5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,20.41799195,79.2006,127.500724883465,1992663,0.699700021743774,10.6,1.531,16.4403158947,19.3900932374,99.3,-1.144,0.178287087738,23.3,100,11,30.3071727243487,1.8,53.972338372467,96,9.9,67.382,9
"86","Philippines","Southeastern Asia",5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,23.48713422,40.7,115.751416273748,101716360,2.72609996795654,5.6,2.9579999,13.0051517344,6.41760839143,91.8,1.582,0.238396416633,6.2,89.08,13,41.7211657779119,16.1,26.9644833484254,82,10.7,44.373,1
"87","Morocco","Middle East and Northern Africa",5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,22.99104134,57.08,126.872321632911,34803320,2.91849994659424,0.7,2.526,18.0065333572,5.47778667467,85.4,1.378,0.0428560879988,25.4,99.5860137939453,9,68.5447008738517,9.1,12.6193143625364,99,18.6,60.195,2
"88","Macedonia, FYR","Central and Eastern Europe",5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,40.4789043,70.3802,98.7830751295128,2079308.13,0.947999954223633,5.7,1.524,13.9439337811,8.40904177797,99.4,0.089,0.00343589049616,22,100,13,50.0793021411578,0.1,39.5717684377478,89,8.1,57.104,6
"90","Albania","Central and Eastern Europe",4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,17.93662454,63.252932696931,106.380206826378,2923352,1.53229999542236,6.6,1.714,13.8473454794,5.75294062084,95.1,0.095,0.00176900409421,21.1,100,9,42.8576642335766,10.3,28.1569343065693,97,13.6,57.407,6
"91","Bosnia and Herzegovina","Central and Eastern Europe",4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,47.40090583,65.065502803344,90.1519602145099,3535961,0.814400005340576,7.5,1.345,14.9063492345,7.32120759037,99.9,-0.694,0.0029078474498,17.5,100,9,42.63671875,14.1,42.67578125,83,16.6,39.767,7
"92","Lesotho","Sub-Saharan Africa",4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,24.70117006,16.071707703394,100.944523790208,2174645,7.14990005493164,6.4,3.1429999,17.6666707566,39.4179436006,81.8,1.334,21.238636202,16.2,27.9232387542725,7,75.0098814229249,9.3,1.61396574440053,90,26.1,27.312,5
"93","Dominican Republic","Latin America and Caribbean",4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,20.41796867,54.2157663369785,82.5867021024424,10528394,2.63360004425049,7.6,2.451,15.7657682671,5.99212977581,84.7,1.154,1.35469299392,26.9,98.560364,15,48.6855723452701,15.3,41.0474021941627,90,27.8,78.98,1
"94","Lao PDR","Southeastern Asia",4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,32.56943026,18.2,53.0961078982263,6663967,5.50009994506836,7.5,2.7579999,13.8190342142,10.7294223734,75.7,1.365,0.182400059669,5,89.7,5,10.2642980935875,4.9,81.2886048526863,88,15,38.614,6
"95","Mongolia","Eastern Asia",4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,23.59317989,21.4360311065255,104.964198354459,2976877,2.51690006256104,7.8,2.793,15.6357580862,19.9069042336,64.4,1.739,0.00807261651117,19.9,81.1916275024414,12,72.6740518550941,1.5,8.08002265763794,98,20.8,72.04,5
"96","Swaziland","Sub-Saharan Africa",4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,21.60860671,30.382700656117,73.2000071566426,1319011,6.38479995727539,6.4,3.141,16.0445412437,18.9611963735,74.1,1.82,25.5919145924,16.1,62.9945449829102,7,71.046511627907,23.4,34.0697674418605,89,24.9,21.308,4
"97","Greece","Western Europe",4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,13.48711001,66.835,112.95018539286,11217800,0.372000002861023,9.3,1.314,17.4873685868,3.734466779,100,-0.361,0.140241444988,24.4,100,9,60.3801396431342,2.2,31.4507370054306,97,8.1,78.007,3
"98","Lebanon","Middle East and Northern Africa",4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,32.60158923,74,92.1645733833779,5851479,1.01230001449585,2.2,1.72,17.4697177617,2.39200795036,99,3.476,0.026553112762,31.4,100,10,64.3206256109482,34.2,13.4213098729228,79,19.3,87.792,2
"99","Hungary","Central and Eastern Europe",4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,23.05838255,72.8347,118.91166491582,9783925,0.527500009536743,12.4,1.3609999,14.5728430491,18.1891803038,100,-0.307,0.0117978673078,25.9,100,13,59.0632939357119,7.5,22.8543024411797,99,7.5,71.227,10
"100","Honduras","Latin America and Caribbean",4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,37.59004958,20.356867428881,95.5421094486092,8960829,3.78759994506836,4,2.507,13.348537117,4.61513074605,91.2,1.694,0.308078187214,20.8,89.98171,12,28.9123246045223,42,41.0403074448119,88,16.5,54.73,9
"101","Tajikistan","Central and Eastern Europe",4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,50.02908375,18.980000000495,98.590260318239,8548651,4.51380004882813,2.4,3.404,13.7472478338,5.36553136043,73.8,2.177,0.0479244888675,13.7,99.9973526000976,9,34.1893274537778,21.5,2.96859913824161,97,17.6,26.782,1
"102","Tunisia","Middle East and Northern Africa",4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,44.79266297,48.519835991689,129.911462568516,11273661,1.87940006256104,1.2,2.223,17.1762578601,3.75715449152,97.7,1.15,0.0268004864549,26.3,100,9,64.836508753862,3.9,6.70056642636457,98,23,66.842,3
"103","Bangladesh","Southern Asia",4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,89.3929096,14.4,81.8993211629441,161200896,3.64790000915527,0.2,2.1329999,15.0233536966,7.83781642881,86.9,1.1,0.0057694989682,3.4,68.2046813964844,5,70.6323269570562,13.9,10.977951909042,94,12.8,34.277,5
"104","Iran, Islamic Rep.","Middle East and Northern Africa",4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,42.98979197,45.3349758846986,93.3848298539484,79360488,1.54230003356934,1,1.686,19.8595074804,5.96686376668,96.2,1.176,0.0130841204538,25.2,99.9750518798828,8,28.2136103538888,2.8,6.56449077826076,99,28,73.375,2
"105","Ukraine","Central and Eastern Europe",4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,18.87843558,48.8846436813218,144.023179259947,44657704,0.92189998626709,11.8,1.528,17.3604016093,19.9929416083,96.2,-0.498,0.57186370982,23.7,100,11,71.2511609118812,1.1,16.6705219874121,56,9.7,69.695,8
"106","Iraq","Middle East and Northern Africa",4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,51.99596281,17.22,93.827493516176,36115648,3.50169982910156,0.5,4.427,16.3915453012,9.69298601723,86.6,3.043,0.0191578319178,29.8,99.8621826171875,6,21.3414072573218,37.4,1.89952109044023,57,17.8,69.471,0
"107","South Africa","Sub-Saharan Africa",4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,29.6286252,51.919115722747,164.511682668293,55291228,4.08279991149902,11.5,2.4849999,15.80079978,13.9005182768,93.2,1.335,15.5296626349,27.8,85.5,9,79.830020855831,0.3,7.61773652408313,76,21.3,64.801,5
"108","Ghana","Sub-Saharan Africa",4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,22.98826426,23.478128435343,129.735997131372,27582820,6.30579986572266,5.4,4.0419998,14.7755968525,8.46430667203,88.7,2.256,1.76020825904,10.5,75.7152786254883,11,68.9988573437637,19.4,41.0345433769887,89,26.1,54.042,7
"109","Zimbabwe","Sub-Saharan Africa",4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,22.86952366,16.36,84.7888044358599,15777451,6.17970008850098,4.8,3.836,15.6853099978,27.7532328826,76.9,2.341,13.3329692726,15.2,33.7,7,41.8766963939511,118.4,36.3500064624532,86,45.4,32.376,5
"110","Liberia","Sub-Saharan Africa",4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,7.851815034,5.903867602799,81.0935820380825,4499621,7.08259963989258,5.2,4.6500001,15.7854264185,16.4809014189,75.6,2.478,1.24116702943,9.6,13.8400917053223,6,28.031561461794,16.8,43.3866279069767,64,35.1,49.701,9
"111","India","Southern Asia",4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,74.32984681,26,78.0617256429769,1309053952,4.80029983520508,4.6,2.352,14.9737166985,18.2208131937,94.1,1.158,0.252698571837,3.7,88,8,60.4471964455686,14.3,23.7731191077597,87,21.2,32.747,6
"113","Haiti","Latin America and Caribbean",4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,25.837657,12.197766377036,68.8436928473572,10711061,7.30920028686523,5.9,2.973,15.9390993553,9.82940973021,57.7,1.283,1.77632176606,21.8,38.2211265563965,6,66.7634252539913,235.3,3.51959361393324,53,15.3,58.645,2
