"","X","Country","Region","Happiness_Score","Econonmy_GDP_Per_Capita","Family","Health_Life_Expectancy","Freedom","Trust_Government_Corruption","Generosity","Air_Pollution","Internet_Usage_Index","Cellular_Subscriber_Index","Total_Population","Child_Mortality_Index","Alcohol_Consumption_Index","Birth_Rate_Index","Mental_and_Substance_Disorder_Index","Suicide_Index","Clean_Water_Index","Population_Growth_Rate","HIV_Disease_Index","Obesity_Index","Electricity_Access_Population_Percentage","Compulsory_Education_in_Years","Agricultural_Land_Percentage","Entrepreneurship_Cost_Index","Forest_Area_Land_Percentage","Infant_Immunization_Measles_Index","Automotive_Mortality_Index","Urban_Population_Percentage","Legal_Rights_Index"
"Kyrgyz Republic",73,"Kyrgyz Republic","Central and Eastern Europe",0.00942355403831797,-1.0130737184047,0.493612732077445,-0.196022097462327,-0.109248109856862,-0.972605958434194,0.619071523631739,-0.546170727367038,-0.437630531047301,0.607427753561845,-0.469806439920645,0.0928221723202992,-0.577043937955507,0.639453435521843,-0.650611715165345,0.514952917663627,-0.437630531047301,0.270789112244495,-0.416981787294107,-0.416981787294107,-0.00942355403831797,0.170642380389107,0.551839338047451,-0.645200916293897,-1.06757052387814,1.66082955953865,0.376201746254726,-1.12763304495694,0.967985343888898
"Nigeria",74,"Nigeria","Sub-Saharan Africa",-0.00942355403831797,-0.612730731616206,-0.54285540318943,-1.69705665373546,-0.674124621408805,-1.00706332537334,0.414566568864341,0.748277228412977,-0.199201324789267,-0.824635704875649,1.62507792993885,1.73910329427063,1.01885738688099,1.7201461486551,-0.33449194208537,-0.481958293596536,-1.23174297027651,1.16821263772529,1.25211952026522,-0.716497500177991,-0.913647201385053,-0.255436412643878,1.70759845099298,0.704368997936395,-0.778812411231225,-1.84453080182984,0.396509334145014,-0.644495710745298,0.370712860893872
"Azerbaijan",76,"Azerbaijan","Central and Eastern Europe",-0.0282740103804692,0.313949239252821,-0.421198424624017,-0.239541417523167,-0.515510554040597,0.497695591433795,-1.4827240168953,0.3985126965188,0.778812411231225,0.00652817718973595,-0.145266798334672,0.515016664804099,-0.857846111946041,-0.134270811468535,-1.05051669114216,-1.36795192311514,-0.554922942702654,-0.0613637663320303,-0.656848717406931,-0.257241329086499,0.753536111752307,0.170642380389107,0.682522503703107,-0.766113077130777,-0.416981787294107,1.01584144813061,-0.490104222390551,-0.354541722720661,-1.06677706202733
"Pakistan",77,"Pakistan","Southern Asia",-0.0471345198529629,-0.746929194848025,-1.75750966552274,-0.710214334935062,-1.7949128575219,-0.0816951659631968,0.866017652141376,1.55906562147932,-0.899434907667234,-1.27168996278389,1.6498314415879,1.41097050342576,-2.16909874493611,0.920176934577161,-0.165837178370473,-1.48173032085429,-0.306270765356875,0.668800097725491,-0.753536111752307,-0.791638607743375,-0.416981787294107,1.01235167335525,0.16502514988274,0.189598120462421,-1.21186539705991,-1.59062327390201,-0.10384389310277,-1.00866194990317,-1.06677706202733
"Jordan",78,"Jordan","Middle East and Northern Africa",-0.0754588663820661,-0.00971029218169828,0.0444982268848742,0.00396089447136563,-0.291718355132325,0.332569962302981,-1.0933078251251,0.782181378718612,0.028274010380469,1.87989095950444,-0.176946851046087,0.000976167914582314,-1.2730296553877,0.865352521148025,0.461923841225702,-1.64977400026497,0.0754588663820661,1.90061859400376,-2.16909874493611,2.00360134237245,0.0849126598079153,0.170642380389107,-1.41820911670869,0.490104222390551,-1.38709258154609,0.178064446895181,0.656848717406931,1.04015019097993,-2.08128553335863
"Montenegro",79,"Montenegro","Central and Eastern Europe",-0.0754588663820661,0.180121590957409,-0.538433164606735,0.14019931242426,-1.51260386976337,0.332862633353476,-0.549767466163123,-0.0203489198549116,0.396509334145014,1.41269568833702,-2.03995227051718,-0.823317318404942,1.10150554678709,-0.69997980325533,-0.889890066867027,0.269088617876762,0.565948821932863,-0.992087896478388,-1.49337770394981,0.406724251871364,0.122812419850878,-0.255436412643878,-1.18985651353517,-0.8045963803603,1.38709258154609,-1.5035553126917,-0.458467590871497,0.0654726481175377,2.03251608101651
"China",80,"China","Eastern Asia",-0.10384389310277,-0.0401749118158596,-0.388314556909133,0.636853363030428,0.476908166127886,-1.22930187634449,-1.43465797847231,1.40139714994218,-0.0471345198529629,-0.536389774869972,2.71244568726374,-0.325853941710973,0.247512940158709,-0.810583283688453,-0.555846083491195,-0.110177712873787,-0.0471345198529629,-0.639356352894714,-0.565948821932863,-1.17348466282553,0.753536111752307,-0.255436412643878,0.60971051584008,-1.25211952026522,-0.199201324789267,1.66082955953865,0.296409602086355,-0.31137755440722,-0.293656491432614
"Zambia",81,"Zambia","Sub-Saharan Africa",-0.122812419850878,-1.02143403887875,-0.500796523770719,-1.35330879464864,0.262185217200412,0.145656807976393,-0.220415190579598,0.197521317993756,-0.704368997936395,-1.04939455143496,0.184489209081704,1.2761258146331,-0.511469190920836,1.54110365577215,-0.0261527243597031,1.15836920669439,-1.29451172542578,1.47840259787692,1.77931599593264,-0.913647201385053,-1.29451172542578,-1.11837271438566,-0.530476709147186,0.778812411231225,1.55351247251084,-0.251114734622305,0.8045963803603,-0.923019066260729,0.676209694145264
"Romania",82,"Romania","Central and Eastern Europe",-0.141825242326318,0.367768429307409,-0.607187703626392,0.363791188616293,-0.631540703357109,-1.64830626352356,-0.796134256148935,-0.306678712772931,0.0849126598079153,-0.110391266122569,0.316900052423745,-0.524590376636466,1.69420905962633,-1.03728716278873,-1.42878670169524,0.145146521609534,1.13675887945677,-1.49292310599651,-0.543964117424632,0.296409602086355,0.753536111752307,0.170642380389107,0.802956322086728,-0.645200916293897,-0.00942355403831797,-0.554675368161788,-0.633640000779701,-0.356965308482022,1.24809009814159
"Portugal",84,"Portugal","Western Europe",-0.160889476162922,0.70017558034184,0.436090991746752,1.02926178184585,0.459409164180786,-1.55969802508472,-0.799218342249372,-1.4655078887477,0.416981787294106,-0.018019665331262,-0.0935137466942942,-1.44279509656039,1.52275685090847,-2.225784729272,1.13777435538378,0.0833800572462205,1.13675887945677,-1.48219248499394,1.29451172542578,-0.00942355403831797,0.753536111752307,-0.255436412643878,-0.147583697149422,-0.588210549209055,0.356048143350943,1.01584144813061,-0.766113077130777,0.0398054625048963,-1.06677706202733
